City,Price(P),Change(P),Price(D),Change(D)
Adilabad,111.83 ₹/L,- 0.07,99.84 ₹/L,- 0.06
Agar Malwa,109.70 ₹/L,  0.00,94.89 ₹/L,  0.00
Agra,96.38 ₹/L,- 0.25,89.55 ₹/L,- 0.25
Ahmadnagar,106.44 ₹/L,- 0.41,92.94 ₹/L,- 0.39
Ahmedabad,96.98 ₹/L,+ 0.56,92.73 ₹/L,+ 0.56
Aizawl,95.73 ₹/L,  0.00,82.18 ₹/L,  0.00
Ajmer,108.20 ₹/L,- 0.01,93.47 ₹/L,- 0.01
Akola,106.14 ₹/L,  0.00,92.69 ₹/L,  0.00
Alappuzha,108.49 ₹/L,- 0.09,97.36 ₹/L,- 0.09
Aligarh,97.02 ₹/L,+ 0.39,90.16 ₹/L,+ 0.38
Alipurduar,106.82 ₹/L,- 0.44,93.49 ₹/L,- 0.41
Alirajpur,110.57 ₹/L,  0.00,95.67 ₹/L,  0.00
Allahabad,97.41 ₹/L,- 0.05,90.59 ₹/L,- 0.05
Almora,95.66 ₹/L,  0.00,90.59 ₹/L,  0.00
Alwar,109.23 ₹/L,+ 0.29,94.37 ₹/L,+ 0.26
Ambala,97.52 ₹/L,- 0.01,90.36 ₹/L,- 0.01
Ambedkarnagar,97.25 ₹/L,- 0.28,90.44 ₹/L,- 0.25
Amethi Csm Nagar,97.66 ₹/L,+ 0.11,90.83 ₹/L,+ 0.11
Amravati,107.14 ₹/L,  0.00,93.65 ₹/L,  0.00
Amreli,97.95 ₹/L,+ 0.70,93.72 ₹/L,+ 0.71
Amritsar,97.55 ₹/L,- 0.26,87.90 ₹/L,- 0.25
Amroha,96.93 ₹/L,- 0.15,90.10 ₹/L,- 0.15
Anand,96.59 ₹/L,+ 0.13,92.34 ₹/L,+ 0.14
Anantapur,111.74 ₹/L,+ 0.08,99.49 ₹/L,+ 0.07
Anantnag,101.42 ₹/L,+ 0.62,86.47 ₹/L,+ 0.50
Angul,104.90 ₹/L,+ 0.30,96.40 ₹/L,+ 0.26
Anupur,111.10 ₹/L,  0.00,96.16 ₹/L,  0.00
Araria,109.15 ₹/L,- 0.08,95.80 ₹/L,- 0.08
Aravalli,97.16 ₹/L,- 0.20,92.91 ₹/L,- 0.19
Ariyalur,103.45 ₹/L,- 0.43,95.08 ₹/L,- 0.42
Arwal,107.94 ₹/L,+ 0.13,94.69 ₹/L,+ 0.12
Ashoknagar,108.71 ₹/L,+ 0.08,93.94 ₹/L,+ 0.07
Auraiya,97.14 ₹/L,+ 0.18,90.31 ₹/L,+ 0.18
Aurangabad,108.35 ₹/L,- 0.40,95.07 ₹/L,- 0.38
Azamgarh,97.45 ₹/L,- 0.42,90.61 ₹/L,- 0.41
